address_v4,address_v6,asn_v4,asn_v6,country_code,first_connected,id,is_anchor,is_public,last_connected,latitude,longitude,prefix_v4,prefix_v6,status,status_name,status_since,tags,total_uptime,type,cc
197.148.32.211,,36907,,AO,1379345996,12471,FALSE,TRUE,1476828900,-8.8425,13.2305,197.148.32.0/21,,3,Abandoned,1476828900,"['nat', 'system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918', 'system-no-flash-drive']",82581296,Probe,AO
196.35.211.26,,3741,,AO,1422614850,13805,FALSE,TRUE,1545138783,-11.2005,17.8675,196.34.0.0/15,,3,Abandoned,1545138783,"['system-v3', 'system-ipv4-capable']",122379150,Probe,AO
,,11259,,AO,1400859530,15949,FALSE,FALSE,1458563000,-8.8185,13.2295,197.216.0.0/15,,3,Abandoned,1458563000,"['system-v3', 'system-ipv4-capable', 'system-no-flash-drive']",60202384,Probe,AO
,,,,AO,1399297223,16435,FALSE,TRUE,1401796166,-8.8405,13.2885,,,3,Abandoned,1401796166,"['system-v3', 'system-no-flash-drive']",1556292,Probe,AO
,,37645,,AO,1398688190,16498,FALSE,FALSE,1557751255,-12.4985,18.5015,129.122.192.0/19,,1,Connected,1557727210,"['system-v3', 'system-resolves-a-correctly', 'system-resolves-aaaa-correctly', 'system-ipv4-works', 'system-auto-geoip-country', 'system-ipv4-capable', 'system-ipv4-rfc1918']",41589787,Probe,AO
,,37468,,AO,1487846699,19757,FALSE,FALSE,1557751255,-12.4995,18.4995,197.149.148.0/22,,1,Connected,1557744246,"['system-v3', 'system-resolves-a-correctly', 'system-resolves-aaaa-correctly', 'system-ipv4-works', 'system-auto-geoip-country', 'system-ipv4-capable', 'system-ipv4-rfc1918', 'system-ipv4-stable-30d', 'system-ipv4-stable-90d']",68956002,Probe,AO
197.149.149.17,,37468,,AO,1473086380,24001,FALSE,TRUE,1490869849,-8.8425,13.2875,197.149.148.0/22,,3,Abandoned,1490869849,"['system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918', 'system-flash-drive-filesystem-corrupted']",12058710,Probe,AO
154.127.128.155,,36907,,AO,1487716594,26239,FALSE,TRUE,1512339844,-8.8385,13.2885,154.127.128.0/21,,3,Abandoned,1512339844,"['system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918']",18749988,Probe,AO
,,,,AO,,26729,FALSE,TRUE,,-8.7685,13.2985,,,0,Never Connected,,"['system-v3', 'system-dns-problem-suspected']",0,Probe,AO
197.148.121.216,,24691,,AO,1465921003,27517,FALSE,TRUE,1479552072,-8.9995,13.2975,197.148.120.0/22,,3,Abandoned,1479552072,"['system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918']",8395474,Probe,AO
41.63.181.231,,36907,,AO,1475091257,27690,FALSE,TRUE,1482079122,-8.8425,13.2915,41.63.160.0/19,,3,Abandoned,1482079122,"['system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918', 'system-flash-drive-filesystem-corrupted']",4820385,Probe,AO
206.82.130.242,,25543,,BF,1338309759,2601,FALSE,TRUE,1527237393,12.3775,-1.5025,206.82.130.0/24,,3,Abandoned,1527237393,"['office', 'nat', 'system-v2', 'system-ipv4-capable', 'system-ipv4-rfc1918', 'system-firewall-problem-suspected']",55114405,Probe,BF
,,,,BF,1352552543,3030,FALSE,TRUE,1412678177,12.2575,-2.3515,,,3,Abandoned,1412678177,"['home', 'nat', 'system-v2', 'system-ipv4-rfc1918', 'system-firewall-problem-suspected']",25548396,Probe,BF
197.239.73.59,,37577,,BF,1502871991,6299,TRUE,TRUE,1557751317,12.3715,-1.5085,197.239.72.0/21,,1,Connected,1557749711,"['system-anchor', 'system-resolves-a-correctly', 'system-resolves-aaaa-correctly', 'system-ipv4-works', 'system-ipv4-capable', 'system-ipv4-stable-90d', 'system-ipv4-stable-1d', 'system-v2-soekris']",53636767,Probe,BF
196.28.246.202,,25543,,BF,1370538946,10177,FALSE,TRUE,1508001958,12.3805,-1.5095,196.28.246.0/24,,3,Abandoned,1508001958,"['nat', 'system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918', 'system-flash-drive-filesystem-corrupted']",77267680,Probe,BF
,,,,BF,1392749486,11943,FALSE,TRUE,1412335987,12.3585,-1.5305,,,3,Abandoned,1412335987,"['nat', 'system-v3', 'system-ipv4-rfc1918']",17759663,Probe,BF
,,,,BF,1386931297,11945,FALSE,TRUE,1401188755,12.3595,-1.5305,,,3,Abandoned,1401188755,"['nat', 'system-v3']",6245605,Probe,BF
196.28.246.228,,25543,,BF,1412681799,15270,FALSE,TRUE,1472660980,12.3475,-1.5195,196.28.246.0/24,,3,Abandoned,1472660980,"['system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918', 'system-no-flash-drive']",28763812,Probe,BF
197.239.81.24,,37577,,BF,1410512144,15342,FALSE,TRUE,1556122925,12.3685,-1.5105,197.239.80.0/21,,2,Disconnected,1556122925,"['system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918', 'system-flash-drive-filesystem-corrupted']",11477273,Probe,BF
185.53.163.181,,50673,,BF,1411129025,15942,FALSE,TRUE,1470749299,12.3485,-1.5205,185.53.160.0/22,,3,Abandoned,1470749299,"['system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918', 'system-flash-drive-filesystem-corrupted']",53193812,Probe,BF
,,,,BF,,18702,FALSE,TRUE,,12.3685,-1.5225,,,0,Never Connected,,"['system-v3', 'system-flash-drive-filesystem-corrupted']",0,Probe,BF
41.223.232.42,,37008,,BF,1547858033,18706,FALSE,TRUE,1557569406,12.3705,-1.5225,41.223.232.0/24,,2,Disconnected,1557569406,"['system-v3', 'system-ipv4-capable']",8882928,Probe,BF
102.176.176.251,,328316,,BF,1547933515,18789,FALSE,TRUE,1557751317,12.3715,-1.5185,102.176.176.0/22,,1,Connected,1557743791,"['system-v3', 'system-resolves-a-correctly', 'system-resolves-aaaa-correctly', 'system-ipv4-works', 'system-ipv4-capable', 'system-ipv4-stable-30d', 'system-ipv4-stable-90d', 'system-ipv4-stable-1d']",9741790,Probe,BF
,,,,BF,,18793,FALSE,TRUE,,12.3685,-1.5185,,,0,Never Connected,,['system-v3'],0,Probe,BF
196.28.244.30,,25543,,BF,1429289659,19201,FALSE,TRUE,1531831592,12.2975,-1.5125,196.28.240.0/21,,3,Abandoned,1531831592,"['system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918', 'system-dns-problem-suspected']",86146218,Probe,BF
102.176.178.10,,328316,,BF,1547971566,19225,FALSE,TRUE,1557751317,12.3695,-1.5215,102.176.176.0/22,,1,Connected,1557740064,"['system-v3', 'system-resolves-a-correctly', 'system-resolves-aaaa-correctly', 'system-ipv4-works', 'system-ipv4-capable', 'system-ipv4-stable-1d']",9710426,Probe,BF
,,,,BF,,19229,FALSE,TRUE,,12.3815,-1.5015,,,0,Never Connected,,"['system-v3', 'system-firewall-problem-suspected']",0,Probe,BF
206.82.130.242,,25543,,BF,1424439733,20404,FALSE,TRUE,1525452466,12.3695,-1.5225,206.82.130.0/24,,3,Abandoned,1525452466,"['system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918', 'system-dns-problem-suspected']",51167107,Probe,BF
