date,abandoned,connected,disconnected,neverseen,cc
2019-05-10,9,1,9,0,EG
2019-05-09,9,2,8,0,EG
2019-05-08,9,2,8,0,EG
2019-05-07,9,2,8,0,EG
2019-05-06,9,2,8,0,EG
2019-05-05,9,2,8,0,EG
2019-05-04,9,1,9,0,EG
2019-05-03,9,1,9,0,EG
2019-05-02,9,1,9,0,EG
2019-05-01,9,1,9,0,EG
2019-04-30,9,1,9,0,EG
2019-04-29,9,1,9,0,EG
2019-04-28,9,2,8,0,EG
2019-04-27,9,2,8,0,EG
2019-04-26,9,2,8,0,EG
2019-04-25,9,4,6,0,EG
2019-04-24,9,3,7,0,EG
2019-04-23,9,2,8,0,EG
2019-04-22,9,3,7,0,EG
2019-04-21,9,4,6,0,EG
2019-04-20,9,4,6,0,EG
2019-04-19,9,4,6,0,EG
2019-04-18,9,4,6,0,EG
2019-04-17,9,4,6,0,EG
2019-04-16,9,3,7,0,EG
2019-04-15,9,5,5,0,EG
2019-04-14,9,5,5,0,EG
2019-04-13,9,5,5,0,EG
2019-04-12,9,5,5,0,EG
2019-04-11,9,5,5,0,EG
2019-04-10,9,5,5,0,EG
2019-04-09,9,5,5,0,EG
2019-04-08,9,7,3,0,EG
2019-04-07,9,5,5,0,EG
2019-04-06,9,5,5,0,EG
2019-04-05,9,7,3,0,EG
2019-04-04,9,7,3,0,EG
2019-04-03,9,5,5,0,EG
2019-04-02,9,6,4,0,EG
2019-04-01,9,7,3,0,EG
2019-03-31,9,7,3,0,EG
2019-03-30,9,5,5,0,EG
2019-03-29,9,6,4,0,EG
2019-03-28,9,5,5,0,EG
2019-03-27,9,6,4,0,EG
2019-03-26,9,5,5,0,EG
2019-03-25,9,6,4,0,EG
2019-03-24,9,5,5,0,EG
2019-03-23,9,5,5,0,EG
2019-03-22,9,5,5,0,EG
2019-03-21,9,5,5,0,EG
2019-03-20,9,5,5,0,EG
2019-03-19,9,6,4,0,EG
2019-03-18,9,5,5,0,EG
2019-03-17,9,6,4,0,EG
2019-03-16,9,6,4,0,EG
2019-03-15,9,5,5,0,EG
2019-03-14,9,7,3,0,EG
2019-03-13,9,7,3,0,EG
2019-03-12,9,6,4,0,EG
2019-03-11,9,6,4,0,EG
2019-03-10,9,5,5,0,EG
2019-03-09,9,7,3,0,EG
2019-03-08,9,7,3,0,EG
2019-03-07,9,7,3,0,EG
2019-03-06,9,6,4,0,EG
2019-03-05,9,7,3,0,EG
2019-03-04,9,7,3,0,EG
2019-03-03,9,7,3,0,EG
2019-03-02,9,6,4,0,EG
2019-03-01,9,5,5,0,EG
2019-02-28,9,5,5,0,EG
2019-02-27,9,6,4,0,EG
2019-02-26,9,7,3,0,EG
2019-02-25,9,9,1,0,EG
2019-02-24,9,8,2,0,EG
2019-02-23,9,8,2,0,EG
2019-02-22,9,6,4,0,EG
2019-02-21,9,7,3,0,EG
2019-02-20,9,8,2,0,EG
2019-02-19,9,8,2,0,EG
2019-02-18,9,6,2,2,EG
2019-02-17,9,5,2,0,EG
2019-02-16,9,4,3,0,EG
2019-02-15,9,4,3,0,EG
2019-02-14,9,5,2,0,EG
2019-02-13,9,5,2,0,EG
2019-02-12,9,5,2,0,EG
2019-02-11,9,5,2,0,EG
2019-02-10,9,5,2,0,EG
2019-02-09,9,5,2,0,EG
2019-02-08,9,4,3,0,EG
2019-02-07,9,5,2,0,EG
2019-02-06,9,5,2,0,EG
2019-02-05,9,5,2,0,EG
2019-02-04,9,5,2,0,EG
2019-02-03,9,5,2,0,EG
2019-02-02,9,5,2,0,EG
2019-02-01,9,5,2,0,EG
2019-01-31,9,5,2,0,EG
2019-01-30,9,5,2,0,EG
2019-01-29,9,5,2,0,EG
2019-01-28,9,5,2,0,EG
2019-01-27,9,3,4,0,EG
2019-01-26,9,4,3,0,EG
2019-01-25,9,4,3,0,EG
2019-01-24,9,4,3,0,EG
2019-01-23,9,4,3,0,EG
2019-01-22,9,4,3,0,EG
2019-01-21,9,5,2,0,EG
2019-01-20,9,5,2,0,EG
2019-01-19,9,5,2,0,EG
2019-01-18,9,5,2,0,EG
2019-01-17,9,5,2,0,EG
2019-01-16,9,5,2,0,EG
2019-01-15,9,4,3,0,EG
2019-01-14,9,5,2,0,EG
2019-01-13,9,5,2,0,EG
2019-01-12,9,4,3,0,EG
2019-01-11,9,5,2,0,EG
2019-01-10,9,5,2,0,EG
2019-01-09,9,5,2,0,EG
2019-01-08,9,5,2,0,EG
2019-01-07,9,4,3,0,EG
2019-01-06,9,5,2,0,EG
2019-01-05,9,7,0,0,EG
2019-01-04,9,7,0,0,EG
2019-01-03,9,6,1,0,EG
2019-01-02,9,7,0,0,EG
2019-01-01,9,7,0,0,EG
2018-12-31,9,7,0,0,EG
2018-12-30,9,7,0,0,EG
2018-12-29,9,6,1,0,EG
2018-12-28,9,6,1,0,EG
2018-12-27,9,6,1,0,EG
2018-12-26,9,6,1,0,EG
2018-12-25,9,6,1,0,EG
2018-12-24,9,6,1,0,EG
2018-12-23,9,6,1,0,EG
2018-12-22,9,6,1,0,EG
2018-12-21,9,6,1,0,EG
2018-12-20,9,5,1,1,EG
2018-12-19,9,5,1,0,EG
2018-12-18,9,4,2,0,EG
2018-12-17,9,5,1,0,EG
2018-12-16,9,5,1,0,EG
2018-12-15,9,4,2,0,EG
2018-12-14,9,3,3,0,EG
2018-12-13,9,3,3,0,EG
2018-12-12,9,5,1,0,EG
2018-12-11,9,4,2,0,EG
2018-12-10,9,2,4,0,EG
2018-12-09,9,3,3,0,EG
2018-12-08,9,2,4,0,EG
2018-12-07,9,2,4,0,EG
2018-12-06,9,3,3,0,EG
2018-12-05,9,3,3,0,EG
2018-12-04,9,4,2,0,EG
2018-12-03,9,4,1,1,EG
2018-12-02,9,3,2,1,EG
2018-12-01,9,3,1,1,EG
2018-11-30,9,3,1,1,EG
2018-11-29,9,3,1,1,EG
2018-11-28,9,3,1,1,EG
2018-11-27,9,3,1,1,EG
2018-11-26,9,3,1,1,EG
2018-11-25,9,3,1,1,EG
2018-11-24,9,3,1,0,EG
2018-11-23,9,3,1,0,EG
2018-11-22,9,3,1,0,EG
2018-11-21,9,3,1,0,EG
2018-11-20,9,3,1,0,EG
2018-11-19,9,2,1,1,EG
2018-11-18,9,2,1,1,EG
2018-11-17,9,2,1,0,EG
2018-11-16,9,3,0,0,EG
2018-11-15,9,2,1,0,EG
2018-11-14,9,2,1,0,EG
2018-11-13,9,2,1,0,EG
2018-11-12,9,2,1,0,EG
2018-11-11,9,1,2,0,EG
2018-11-10,9,1,2,0,EG
2018-11-09,9,1,2,0,EG
2018-11-08,9,1,2,0,EG
2018-11-07,9,2,1,0,EG
2018-11-06,9,1,2,0,EG
2018-11-05,9,2,1,0,EG
2018-11-04,9,2,1,0,EG
2018-11-03,9,2,1,0,EG
2018-11-02,9,1,2,0,EG
2018-11-01,9,1,2,0,EG
2018-10-31,9,2,1,0,EG
2018-10-30,9,2,1,0,EG
2018-10-29,9,2,1,0,EG
2018-10-28,9,1,2,0,EG
2018-10-27,9,2,1,0,EG
2018-10-26,9,2,1,0,EG
2018-10-25,9,2,1,0,EG
2018-10-24,9,1,2,0,EG
2018-10-23,9,2,1,0,EG
2018-10-22,9,2,1,0,EG
2018-10-21,9,2,1,0,EG
2018-10-20,9,2,1,0,EG
2018-10-19,9,2,1,0,EG
2018-10-18,9,2,1,0,EG
2018-10-17,9,2,1,0,EG
2018-10-16,9,2,1,0,EG
2018-10-15,9,2,1,0,EG
2018-10-14,9,2,1,0,EG
2018-10-13,9,2,1,0,EG
2018-10-12,9,2,1,0,EG
2018-10-11,9,2,1,0,EG
2018-10-10,9,1,2,0,EG
2018-10-09,9,1,2,0,EG
2018-10-08,8,1,3,0,EG
2018-10-07,8,1,3,0,EG
2018-10-06,8,1,3,0,EG
