,asn_v4,Abandoned,Connected,Disconnected,network_type
0,766,1.0,0.0,0.0,Educational/Research
1,2018,8.0,4.0,0.0,Educational/Research
2,2561,1.0,0.0,0.0,Unknown
3,2609,11.0,2.0,3.0,NSP
4,3208,3.0,0.0,0.0,Unknown
5,3333,2.0,0.0,0.0,Non-Profit
6,3491,5.0,4.0,0.0,NSP
7,3741,12.0,9.0,3.0,NSP
8,5438,1.0,0.0,1.0,Not Disclosed
9,5713,4.0,1.0,0.0,NSP
10,6083,1.0,0.0,0.0,Cable/DSL/ISP
11,6713,1.0,1.0,0.0,Not Disclosed
12,6830,0.0,0.0,1.0,Cable/DSL/ISP
13,7420,1.0,0.0,0.0,Unknown
14,7922,1.0,0.0,0.0,Cable/DSL/ISP
15,8094,2.0,1.0,1.0,Unknown
16,8346,7.0,5.0,0.0,Cable/DSL/ISP
17,8452,1.0,4.0,6.0,NSP
18,8513,1.0,0.0,0.0,NSP
19,9129,1.0,0.0,0.0,Not Disclosed
20,10474,11.0,3.0,0.0,Cable/DSL/ISP
21,11259,1.0,0.0,0.0,Unknown
22,11845,7.0,2.0,1.0,Cable/DSL/ISP
23,12143,0.0,1.0,0.0,Cable/DSL/ISP
24,12455,1.0,1.0,0.0,Not Disclosed
25,12491,1.0,1.0,0.0,Not Disclosed
26,12556,0.0,2.0,0.0,NSP
27,12684,0.0,0.0,1.0,Cable/DSL/ISP
28,15022,0.0,2.0,0.0,Cable/DSL/ISP
29,15399,2.0,1.0,2.0,Cable/DSL/ISP
30,15706,1.0,1.0,0.0,Not Disclosed
31,15808,0.0,1.0,0.0,NSP
32,15964,4.0,3.0,4.0,Not Disclosed
33,16058,2.0,0.0,0.0,Not Disclosed
34,16276,1.0,0.0,0.0,Content
35,16637,3.0,0.0,0.0,NSP
36,18931,2.0,0.0,0.0,Cable/DSL/ISP
37,19711,1.0,0.0,0.0,Cable/DSL/ISP
38,20294,0.0,0.0,1.0,Unknown
39,21042,2.0,0.0,0.0,Cable/DSL/ISP
40,21174,2.0,0.0,0.0,Unknown
41,21491,1.0,0.0,0.0,Unknown
42,22355,4.0,0.0,0.0,Cable/DSL/ISP
43,22690,1.0,1.0,0.0,Unknown
44,23889,9.0,2.0,0.0,NSP
45,24691,11.0,5.0,1.0,NSP
46,24757,8.0,1.0,3.0,Cable/DSL/ISP
47,24835,2.0,0.0,0.0,Not Disclosed
48,24863,1.0,0.0,0.0,NSP
49,25139,1.0,0.0,0.0,Cable/DSL/ISP
50,25250,1.0,0.0,0.0,Unknown
51,25543,5.0,1.0,0.0,Unknown
52,28683,14.0,0.0,1.0,Cable/DSL/ISP
53,29032,2.0,4.0,0.0,Unknown
54,29465,3.0,0.0,0.0,NSP
55,29544,1.0,0.0,0.0,Unknown
56,29571,4.0,1.0,0.0,Not Disclosed
57,29614,3.0,0.0,0.0,Not Disclosed
58,30619,0.0,1.0,0.0,Unknown
59,30844,6.0,2.0,0.0,NSP
60,30969,3.0,0.0,0.0,Unknown
61,30982,3.0,0.0,0.0,Not Disclosed
62,30983,0.0,1.0,1.0,Not Disclosed
63,30988,1.0,1.0,0.0,NSP
64,30990,3.0,0.0,0.0,NSP
65,30992,3.0,0.0,0.0,Not Disclosed
66,30997,1.0,1.0,0.0,Route Server
67,30999,1.0,0.0,1.0,Cable/DSL/ISP
68,31245,1.0,0.0,0.0,Unknown
69,31856,1.0,0.0,0.0,Cable/DSL/ISP
70,31960,0.0,1.0,0.0,Unknown
71,32437,1.0,1.0,1.0,Cable/DSL/ISP
72,32653,1.0,4.0,1.0,Cable/DSL/ISP
73,32860,1.0,0.0,0.0,Not Disclosed
74,33762,2.0,0.0,0.0,Cable/DSL/ISP
75,33763,2.0,0.0,0.0,NSP
76,33771,3.0,1.0,2.0,Not Disclosed
77,33772,1.0,0.0,0.0,Cable/DSL/ISP
78,33788,3.0,1.0,0.0,Not Disclosed
79,36692,0.0,1.0,0.0,Content
80,36866,2.0,1.0,0.0,Not Disclosed
81,36867,4.0,0.0,0.0,Unknown
82,36868,1.0,2.0,0.0,Cable/DSL/ISP
83,36874,3.0,4.0,0.0,Cable/DSL/ISP
84,36877,1.0,0.0,0.0,Unknown
85,36884,1.0,0.0,0.0,Not Disclosed
86,36890,1.0,1.0,0.0,Unknown
87,36902,0.0,1.0,0.0,Cable/DSL/ISP
88,36903,5.0,3.0,2.0,Unknown
89,36907,3.0,0.0,0.0,Cable/DSL/ISP
90,36909,1.0,1.0,0.0,Cable/DSL/ISP
91,36912,1.0,0.0,0.0,Unknown
92,36914,7.0,2.0,1.0,Not Disclosed
93,36924,2.0,0.0,0.0,Cable/DSL/ISP
94,36930,1.0,0.0,0.0,NSP
95,36932,1.0,0.0,0.0,Route Server
96,36934,1.0,0.0,0.0,Unknown
97,36937,3.0,1.0,0.0,NSP
98,36938,1.0,0.0,0.0,Unknown
99,36947,19.0,3.0,0.0,NSP
100,36953,2.0,0.0,0.0,Cable/DSL/ISP
101,36955,2.0,0.0,0.0,Unknown
102,36958,4.0,0.0,0.0,Cable/DSL/ISP
103,36961,1.0,0.0,0.0,Not Disclosed
104,36965,1.0,0.0,0.0,Not Disclosed
105,36982,2.0,0.0,0.0,Unknown
106,36986,1.0,0.0,0.0,Cable/DSL/ISP
107,36994,1.0,0.0,0.0,NSP
108,36996,4.0,1.0,0.0,Unknown
109,36997,2.0,0.0,1.0,Cable/DSL/ISP
110,36998,5.0,0.0,0.0,Enterprise
111,37004,1.0,0.0,0.0,Unknown
112,37006,1.0,0.0,0.0,Unknown
113,37008,0.0,0.0,1.0,Cable/DSL/ISP
114,37009,1.0,0.0,0.0,Cable/DSL/ISP
115,37010,1.0,0.0,0.0,Unknown
116,37034,1.0,0.0,0.0,Cable/DSL/ISP
117,37037,0.0,0.0,1.0,Cable/DSL/ISP
