cc,Abandoned,Connected,Disconnected,Never Connected
AO,8.0,2.0,,1.0
BF,9.0,4.0,2.0,4.0
BI,7.0,2.0,,
BJ,38.0,5.0,4.0,
CD,5.0,1.0,1.0,2.0
CG,8.0,,,7.0
CI,13.0,1.0,,4.0
CM,16.0,4.0,4.0,8.0
DJ,3.0,,,1.0
DZ,26.0,3.0,,7.0
EG,9.0,4.0,6.0,
ET,8.0,1.0,3.0,1.0
GA,4.0,1.0,,
GH,13.0,3.0,1.0,4.0
GM,10.0,1.0,,1.0
KE,27.0,16.0,5.0,8.0
KM,2.0,,,
LR,7.0,,,3.0
MA,9.0,5.0,4.0,3.0
MG,5.0,4.0,2.0,
ML,1.0,,,
MR,4.0,,,
MU,14.0,7.0,1.0,1.0
MW,6.0,3.0,,2.0
MZ,5.0,6.0,,2.0
NG,19.0,5.0,,7.0
RW,14.0,3.0,,3.0
SC,18.0,1.0,,
SD,18.0,3.0,,3.0
SN,10.0,5.0,1.0,1.0
SO,2.0,,,2.0
SZ,2.0,1.0,,
TD,2.0,,1.0,2.0
TG,16.0,5.0,2.0,1.0
TN,30.0,9.0,6.0,6.0
TZ,23.0,10.0,,4.0
UG,18.0,8.0,2.0,2.0
ZA,127.0,87.0,19.0,7.0
ZM,8.0,3.0,,1.0
ZW,15.0,4.0,,4.0
