asn_v4,network_type
766,Educational/Research
2018,Educational/Research
2561,Unknown
2609,NSP
3208,Unknown
3333,Non-Profit
3491,NSP
3741,NSP
5438,Not Disclosed
5713,NSP
6083,Cable/DSL/ISP
6713,Not Disclosed
6830,Cable/DSL/ISP
7420,Unknown
7922,Cable/DSL/ISP
8094,Unknown
8346,Cable/DSL/ISP
8452,NSP
8513,NSP
9129,Not Disclosed
10474,Cable/DSL/ISP
11259,Unknown
11845,Cable/DSL/ISP
12143,Cable/DSL/ISP
12455,Not Disclosed
12491,Not Disclosed
12556,NSP
12684,Cable/DSL/ISP
15022,Cable/DSL/ISP
15399,Cable/DSL/ISP
15706,Not Disclosed
15808,NSP
15964,Not Disclosed
16058,Not Disclosed
16276,Content
16637,NSP
18931,Cable/DSL/ISP
19711,Cable/DSL/ISP
20294,Unknown
21042,Cable/DSL/ISP
21174,Unknown
21491,Unknown
22355,Cable/DSL/ISP
22690,Unknown
23889,NSP
24691,NSP
24757,Cable/DSL/ISP
24835,Not Disclosed
24863,NSP
25139,Cable/DSL/ISP
25250,Unknown
25543,Unknown
28683,Cable/DSL/ISP
29032,Unknown
29465,NSP
29544,Unknown
29571,Not Disclosed
29614,Not Disclosed
30619,Unknown
30844,NSP
30969,Unknown
30982,Not Disclosed
30983,Not Disclosed
30988,NSP
30990,NSP
30992,Not Disclosed
30997,Route Server
30999,Cable/DSL/ISP
31245,Unknown
31856,Cable/DSL/ISP
31960,Unknown
32437,Cable/DSL/ISP
32653,Cable/DSL/ISP
32860,Not Disclosed
33762,Cable/DSL/ISP
33763,NSP
33771,Not Disclosed
33772,Cable/DSL/ISP
33788,Not Disclosed
36692,Content
36866,Not Disclosed
36867,Unknown
36868,Cable/DSL/ISP
36874,Cable/DSL/ISP
36877,Unknown
36884,Not Disclosed
36890,Unknown
36902,Cable/DSL/ISP
36903,Unknown
36907,Cable/DSL/ISP
36909,Cable/DSL/ISP
36912,Unknown
36914,Not Disclosed
36924,Cable/DSL/ISP
36930,NSP
36932,Route Server
36934,Unknown
36937,NSP
36938,Unknown
36947,NSP
36953,Cable/DSL/ISP
36955,Unknown
36958,Cable/DSL/ISP
36961,Not Disclosed
36965,Not Disclosed
36982,Unknown
36986,Cable/DSL/ISP
36994,NSP
36996,Unknown
36997,Cable/DSL/ISP
36998,Enterprise
37004,Unknown
37006,Unknown
37008,Cable/DSL/ISP
37009,Cable/DSL/ISP
37010,Unknown
37034,Cable/DSL/ISP
37037,Cable/DSL/ISP
37043,Unknown
37045,Unknown
37049,Cable/DSL/ISP
37053,NSP
37054,Cable/DSL/ISP
37061,Unknown
37063,NSP
37074,Unknown
37084,Cable/DSL/ISP
37090,Cable/DSL/ISP
37094,Unknown
37098,Cable/DSL/ISP
37100,NSP
37101,Unknown
37105,NSP
37123,Cable/DSL/ISP
37126,Cable/DSL/ISP
37139,Unknown
37150,Cable/DSL/ISP
37153,Content
37154,Cable/DSL/ISP
37172,NSP
37182,Unknown
37183,Cable/DSL/ISP
37184,Unknown
37187,Cable/DSL/ISP
37192,Cable/DSL/ISP
37196,Unknown
37197,Unknown
37199,Cable/DSL/ISP
37204,Cable/DSL/ISP
37213,Unknown
37228,Unknown
37229,Not Disclosed
37281,Not Disclosed
37282,NSP
37286,Educational/Research
37292,Unknown
37294,Unknown
37302,Cable/DSL/ISP
37303,Cable/DSL/ISP
37305,Cable/DSL/ISP
37309,Unknown
37313,NSP
37315,NSP
37322,Unknown
37336,Unknown
37340,Cable/DSL/ISP
37343,Unknown
37346,Unknown
37349,Cable/DSL/ISP
37350,Unknown
37356,Cable/DSL/ISP
37358,Cable/DSL/ISP
37363,Cable/DSL/ISP
37381,Cable/DSL/ISP
37386,Route Server
37403,Cable/DSL/ISP
37405,Unknown
37417,Cable/DSL/ISP
37424,Not Disclosed
37443,Unknown
37451,Cable/DSL/ISP
37453,Cable/DSL/ISP
37457,Cable/DSL/ISP
37463,NSP
37468,NSP
37474,Non-Profit
37475,Cable/DSL/ISP
37492,Cable/DSL/ISP
37495,Educational/Research
37497,NSP
37503,Unknown
37513,Unknown
37515,Cable/DSL/ISP
37519,Cable/DSL/ISP
37520,Educational/Research
37524,Unknown
37532,Unknown
37542,Cable/DSL/ISP
37545,NSP
37547,Unknown
37548,Not Disclosed
37550,NSP
37557,Unknown
37577,Cable/DSL/ISP
37578,Not Disclosed
37586,Cable/DSL/ISP
37611,Cable/DSL/ISP
37618,NSP
37623,Not Disclosed
37629,Cable/DSL/ISP
37637,Not Disclosed
37640,Cable/DSL/ISP
37645,Cable/DSL/ISP
37649,Unknown
37661,Not Disclosed
37662,NSP
37663,Non-Profit
37668,Non-Profit
37670,Cable/DSL/ISP
37671,Not Disclosed
37680,Cable/DSL/ISP
37684,Content
37686,Unknown
37691,Not Disclosed
37693,Cable/DSL/ISP
37695,Route Server
37705,NSP
37708,Unknown
39356,Not Disclosed
41095,NSP
42235,Unknown
43256,NSP
50673,Enterprise
57695,NSP
327687,Educational/Research
327692,Cable/DSL/ISP
327706,Unknown
327714,Unknown
327719,Route Server
327723,Unknown
327724,Enterprise
327740,Non-Profit
327741,Unknown
327750,Cable/DSL/ISP
327754,Cable/DSL/ISP
327761,NSP
327782,NSP
327792,Cable/DSL/ISP
327795,Unknown
327796,Non-Profit
327798,Not Disclosed
327805,Cable/DSL/ISP
327809,Unknown
327813,Content
327814,NSP
327817,Cable/DSL/ISP
327821,Non-Profit
327825,Cable/DSL/ISP
327828,Unknown
327844,Unknown
327859,Cable/DSL/ISP
327861,Unknown
327864,Unknown
327872,Cable/DSL/ISP
327879,Unknown
327881,Unknown
327900,Cable/DSL/ISP
327931,Not Disclosed
327935,NSP
327941,Cable/DSL/ISP
327987,Cable/DSL/ISP
328014,Unknown
328019,Unknown
328039,Cable/DSL/ISP
328049,Cable/DSL/ISP
328098,Unknown
328137,Cable/DSL/ISP
328145,NSP
328162,Enterprise
328262,Cable/DSL/ISP
328266,Cable/DSL/ISP
328282,Unknown
328316,Unknown
328365,Non-Profit
328366,Cable/DSL/ISP
